书名,作者,出版社,出版日期,书价,评论热度
平凡的世界（全三册）,路遥, 北京十月文艺出版社,2009.0,68.0,30155.0
国境以南 太阳以西,[日]村上春树, 上海译文出版社,2001.0,13.5,30065.0
七夜雪,沧月, 北京十月文艺出版社,2018.0,25.0,29763.0
江城,[美]彼得·海斯勒, 上海译文出版社,2012.0,36.0,29490.0
项链,[法]莫泊桑, 河北教育出版社,2005.0,28.0,29382.0
ZOO,[日]乙一, 当代世界出版社,2007.0,20.0,29218.0
曾有一个人，爱我如生命,舒仪, 中国画报出版社,2017.0,23.8,29164.0
没有色彩的多崎作和他的巡礼之年,[日]村上春树, 南海出版公司,2013.0,39.5,29118.0
罗生门,[日]芥川龙之介, 上海译文出版社,2008.0,12.0,28947.0
阿狸·梦之城堡,hans, 上海锦绣文章出版社,2009.0,36.8,28850.0
冰与火之歌（卷一）,[美]乔治.R.R.马丁, 重庆出版社,2007.0,68.0,28724.0
京华烟云,林语堂, 陕西师范大学出版社,2005.0,43.0,28334.0
欧也妮·葛朗台,[法]巴尔扎克, 人民文学出版社,2000.0,8.8,28328.0
机器猫哆啦A梦23,藤子·F·不二雄, 吉林美术出版社,2010.0,8.0,28225.0
鬼吹灯之龙岭迷窟,天下霸唱, 安徽文艺出版社,2011.0,25.0,28077.0
一句顶一万句,刘震云, 长江文艺出版社,2009.0,29.8,28021.0
失落的秘符,[美]丹·布朗, 人民文学出版社,2009.0,38.0,27940.0
灌篮高手31,[日]井上雄彦, 长春出版社,2010.0,7.5,27886.0
一千零一夜,纳训, 人民文学出版社,2003.0,22.0,27875.0
光荣日（第一季）,韩寒, 二十一世纪出版社,2015.0,21.0,27848.0
我执,梁文道, 广西师范大学出版社,2010.0,35.0,27426.0
生活在别处,[捷克]米兰·昆德拉, 上海译文出版社,0.0,25.0,27357.0
尼罗河上的惨案,[英]阿加莎·克里斯蒂, 人民文学出版社,2008.0,22.0,27235.0
第一炉香,张爱玲, 花城出版社,1997.0,11.5,27159.0
妻妾成群,苏童, 上海文艺出版社,2004.0,23.0,26689.0
佛祖在一号线,李海鹏, 文化艺术出版社,2019.0,25.0,26556.0
雨季不再来,三毛, 北京十月文艺出版社,2007.0,28.0,26530.0
盗墓笔记7,南派三叔, 时代文艺出版社,2017.0,32.8,26528.0
面纱,[英]W.萨默塞特·毛姆, 重庆,2012.0,32.0,26486.0
父与子全集,[德]埃·奥·卜劳恩绘, 中国工人出版社,2003.0,20.0,26358.0
人间词话,王国维, 上海古籍出版社,1998.0,9.8,26300.0
圣女的救济,[日]东野圭吾, 当代世界出版社,2009.0,30.0,26158.0
文学回忆录（全2册）,木心讲述, 广西师范大学出版社,2013.0,98.0,26060.0
平凡的世界,路遥," 北京出版集团公司,北京十月文艺出版社",2012.0,79.8,25728.0
新名字的故事,[意]埃莱娜·费兰特, 人民文学出版社,2017.0,59.0,25713.0
雾都孤儿,[英]狄更斯, 上海译文出版社,1991.0,10.1,25132.0
哈姆莱特,[英]莎士比亚, 人民文学出版社,2001.0,7.0,24859.0
宿命,[日]东野圭吾, 南海出版公司,2011.0,25.0,24758.0
占星术杀人魔法,[日]岛田庄司, 新星出版社,2008.0,28.0,24718.0
行者无疆,余秋雨, 华艺出版社,2001.0,22.0,24684.0
舞！舞！舞！,[日]村上春树, 上海译文出版社,2002.0,25.0,24586.0
东宫,匪我思存, 新世界出版社,2010.0,28.0,24510.0
鬼吹灯之昆仑神宫,天下霸唱, 安徽文艺出版社,2016.0,28.0,24446.0
海子的诗,海子, 人民文学出版社,1999.0,15.4,24423.0
野火集,龙应台, 文汇出版社,2005.0,25.0,24409.0
我的前半生,亦舒, 新世界出版社,2011.0,22.0,24335.0
九州·缥缈录,江南, 新世界出版社,2010.0,20.0,24205.0
动物凶猛,王朔, 中国电影出版社,2004.0,15.5,24180.0
万水千山走遍,三毛, 哈尔滨出版社,2003.0,13.8,24065.0
我的精神家园,王小波, 文化艺术出版社,1997.0,18.8,24024.0
少年维特的烦恼,[德]歌德, 人民文学出版社,1999.0,7.4,23902.0
一个陌生女子的来信,[奥]茨威格, 中国社会科学出版社,2007.0,20.0,23705.0
斯通纳,[美]约翰·威廉斯, 上海人民出版社,2016.0,49.0,23680.0
教父,[美]马里奥·普佐, 译林出版社,1997.0,23.3,23669.0
大漠谣,桐华, 河南文艺出版社,2017.0,20.0,23481.0
青春,韩寒, 湖南人民出版社,2017.0,29.0,23388.0
台北人,白先勇, 广西师范大学出版社,2010.0,38.0,23169.0
白银时代,王小波, 花城出版社,1997.0,10.0,23064.0
观念的水位,刘瑜, 浙江大学出版社,2013.0,36.0,22971.0
变身,[日]东野圭吾, 南海出版社,2016.0,22.0,22903.0
小姨多鹤,严歌苓, 作家出版社,2008.0,28.0,22903.0
云中歌1,桐华, 作家出版社,2009.0,24.8,22756.0
死亡筆記 1,大場鶇, 文化傳信,2008.0,30.0,22583.0
七龍珠 34,鸟山明, 東立,2018.0,6.9,22554.0
寻羊冒险记,[日]村上春树, 上海译文出版社,2001.0,18.8,22358.0
琅琊榜,海宴, 朝华出版社,2007.0,49.8,22231.0
来不及说我爱你,匪我思存, 新世界出版社,2010.0,20.0,22220.0
千年一叹,余秋雨, 作家出版社,2002.0,35.0,22051.0
通稿2003,韩寒, 作家出版社,2006.0,9.0,21995.0
别相信任何人,[英]S.J.沃森, 中信出版社,2011.0,29.0,21962.0
红拂夜奔,王小波, 江苏文艺出版社,2005.0,28.0,21933.0
我所理解的生活,韩寒, 浙江文艺出版社,2013.0,29.0,21787.0
阿弥陀佛么么哒,大冰, 湖南文艺出版社,2015.0,38.0,21694.0
子不语1,夏达, 新世纪出版社,2019.0,36.0,21644.0
告白,湊佳苗, 時報文化,2009.0,250.0,21583.0
幽游白书（全19册）,冨樫義博, 河南大学出版社,1999.0,129.2,21529.0
可爱的洪水猛兽,韩寒, 万卷出版公司,2010.0,25.0,21288.0
乱马1/2,高桥留美子, 吉林美术出版社,2002.0,6.5,21127.0
一个叫欧维的男人决定去死,[瑞典]弗雷德里克·巴克曼, 四川文艺出版社,2015.0,35.0,21120.0
退步集,陈丹青, 广西师范大学出版社,2005.0,38.0,20931.0
长安十二时辰 上,马伯庸, 湖南文艺出版社,2017.0,79.6,20848.0
杂的文,韩寒, 万卷出版公司,2018.0,19.9,20802.0
夹边沟记事,杨显惠, 花城出版社,2004.0,34.0,20688.0
祈祷落幕时,[日]东野圭吾, 南海出版公司,2015.0,39.5,20680.0
带一本书去巴黎,林达, 生活·读书·新知三联书店,2002.0,35.0,20350.0
单恋,[日]东野圭吾, 南海出版公司,2012.0,28.0,20305.0
在细雨中呼喊,余华, 南海出版公司,1999.0,18.0,20141.0
许我向你看,辛夷坞, 河南文艺出版社,2007.0,25.0,20124.0
分身,[日]东野圭吾, 南海出版公司,2017.0,28.0,19700.0
古董局中局,马伯庸, 凤凰出版社,2019.0,32.0,19314.0
三生三世 枕上书,唐七公子, 湖南文艺出版社,2019.0,32.0,19255.0
花千骨（上下）,Fresh果果, 北方妇女儿童出版社,2009.0,56.0,19091.0
刺杀骑士团长,[日]村上春树, 上海译文出版社,2018.0,98.0,18889.0
包法利夫人,福楼拜, 人民文学出版社,2003.0,12.0,18349.0
永恒的终结,[美]艾萨克·阿西莫夫, 江苏文艺出版社,2015.0,32.0,18323.0
连城诀,金庸, 三联书店,2007.0,12.0,18303.0
东京奇谭集,[日]村上春树, 上海译文出版社,2006.0,13.0,18270.0
天是红河岸,篠原千绘, 日本小学馆,2016.0,37.0,18226.0
烈火如歌,明晓溪, 新世界出版社,2015.0,20.0,18092.0
星空,幾米, 大塊文化,2017.0,369.0,18071.0
家,巴金, 人民文学出版社,1981.0,29.0,18060.0
雪山飞狐,金庸, 三联书店,2013.0,12.0,18001.0
龙族Ⅰ,江南, 长江出版社,2010.0,24.8,17745.0
雪国,[日]川端康成, 南海出版公司,2013.0,32.0,17713.0
复活,[俄]列夫·托尔斯泰, 人民文学出版社,1979.0,19.9,17702.0
离开的，留下的,[意]埃莱娜·费兰特, 人民文学出版社,2017.0,62.0,17700.0
步履不停,[日]是枝裕和, 北京联合出版公司,2017.0,36.8,17618.0
十年一品温如言,书海沧生, 江苏文艺出版社,2010.0,46.0,17524.0
幸福了吗?,白岩松, 长江文艺出版社,2016.0,29.0,17488.0
夏至未至,郭敬明, 长江文艺出版社,2007.0,26.8,17436.0
你的孤独，虽败犹荣,刘同, 中信出版社,2014.0,39.8,17319.0
一桩事先张扬的凶杀案,[哥伦比亚]加西亚·马尔克斯, 南海出版公司,2017.0,25.0,17313.0
失踪的孩子,[意]埃莱娜·费兰特, 99读书人|人民文学出版社,2018.0,62.0,17177.0
旅行的艺术,[英]阿兰·德波顿, 上海译文出版社,2004.0,16.8,17160.0
NANA（1-13）,[日]矢泽爱, 内蒙古人民出版社,2011.0,84.5,17090.0
丑陋的中国人,柏杨, 古吴轩出版社,2006.0,23.8,17027.0
青铜时代,王小波, 花城出版社,1997.0,29.0,16962.0
失乐园,[日]渡边淳一, 北京联合出版公司,2014.0,39.8,16871.0
谁的青春不迷茫,刘同, 中信出版社,2014.0,35.0,16811.0
美丽新世界,[英]阿道司·赫胥黎, 重庆出版社,2014.0,20.0,16700.0
深夜食堂 01,[日]安倍夜郎, 湖南文艺出版社,2011.0,25.0,16431.0
双城记,查尔斯·狄更斯, 人民文学出版社,1996.0,14.1,16427.0
遇到百分之百的女孩,[日]村上春树, 上海译文出版社,2002.0,13.5,16364.0
上海堡垒,江南, 万卷出版公司,2007.0,26.0,16284.0
长夜难明,紫金陈, 云南人民出版社,2016.0,42.0,16145.0
檀香刑,莫言, 作家出版社,2001.0,27.0,16142.0
树上的男爵,[意]卡尔维诺, 译林出版社,2012.0,30.0,16130.0
射雕英雄传,金庸, 生活·读书·新知三联书店,2018.0,76.8,16092.0
你一生的故事,[美]特德·姜, 译林出版社,2010.0,36.0,16053.0
魔道祖師 一,墨香铜臭, 平心工作室,0.0,330.0,15955.0
银河系漫游指南,[英]道格拉斯·亚当斯, 四川科学技术出版社,2007.0,16.0,15896.0
金色梦乡,[日]伊坂幸太郎, 南海出版公司,2016.0,49.5,15851.0
三十六大,冯唐, 浙江文艺出版社,2009.0,36.0,15717.0
名侦探的守则,[日]东野圭吾, 南海出版公司,2015.0,22.0,15607.0
金阁寺,[日]三岛由纪夫, 上海译文出版社,2009.0,24.0,15546.0
毒,韩寒, 中国青年出版社,2015.0,19.0,15492.0
佐贺的超级阿嬷,[日]岛田洋七, 南海出版公司,2007.0,20.0,15484.0
